Ls,month,martian_year,Centroid latitude,Centroid longitude,min_temp,max_temp,pressure,Confidence interval,Missing data,Mission subphase,storm_occurrence
120.0,7,31,-23.45,-18.95,-85.0,-20.0,776.0,75.0,0,0,1
120.0,7,31,-42.15,-124.95,-85.0,-20.0,776.0,50.0,1,0,0
120.0,7,31,-29.75,-76.75,-85.0,-20.0,776.0,50.0,0,0,1
120.0,7,31,-23.45,-16.95,-85.0,-20.0,776.0,75.0,0,0,1
120.0,7,31,-28.85,-97.35,-85.0,-20.0,776.0,75.0,0,0,0
120.0,7,31,-43.65,-123.15,-85.0,-20.0,776.0,50.0,1,0,0
121.0,7,31,-31.65,-83.05,-85.0,-27.0,774.0,75.0,0,0,1
121.0,7,31,-27.95,21.55,-85.0,-27.0,774.0,50.0,0,0,1
121.0,7,31,-39.35,-114.35,-85.0,-27.0,774.0,50.0,0,0,0
121.0,7,31,-32.35,-82.55,-85.0,-27.0,774.0,50.0,0,0,0
121.0,7,31,-39.75,-84.85,-85.0,-27.0,774.0,50.0,1,0,0
122.0,7,31,69.25,-63.85,-82.0,-19.0,772.0,75.0,0,0,0
122.0,7,31,-32.85,25.45,-82.0,-19.0,772.0,75.0,0,0,1
122.0,7,31,-38.35,-106.75,-82.0,-19.0,772.0,50.0,1,0,1
122.0,7,31,-39.65,-81.95,-82.0,-19.0,772.0,50.0,0,0,1
122.0,7,31,69.35,-44.55,-82.0,-19.0,772.0,75.0,0,0,1
122.0,7,31,-34.35,32.25,-82.0,-19.0,772.0,75.0,0,0,1
122.0,7,31,-36.35,-55.55,-82.0,-19.0,772.0,50.0,0,0,1
122.0,7,31,-23.95,-19.95,-82.0,-19.0,772.0,50.0,0,0,1
123.0,7,31,72.55,-42.95,-82.0,-19.0,769.0,75.0,0,0,1
123.0,7,31,62.65,-38.55,-82.0,-19.0,769.0,75.0,0,0,1
123.0,7,31,-38.95,-83.65,-82.0,-19.0,769.0,50.0,1,0,0
123.0,7,31,61.85,-38.85,-82.0,-19.0,769.0,50.0,0,0,1
123.0,7,31,-28.05,-67.15,-82.0,-19.0,769.0,50.0,0,0,0
123.0,7,31,-19.25,-94.35,-82.0,-19.0,769.0,50.0,0,0,0
124.0,7,31,72.05,120.35,-83.0,-23.0,769.0,50.0,0,0,1
124.0,7,31,-21.35,-89.85,-83.0,-23.0,769.0,50.0,0,0,0
124.0,7,31,71.45,120.95,-83.0,-23.0,769.0,50.0,0,0,1
125.0,7,31,-0.649994,7.05,-83.0,-19.0,765.0,75.0,0,0,0
125.0,7,31,65.85,-43.25,-83.0,-19.0,765.0,50.0,0,0,1
126.0,7,31,66.15,-49.25,-84.0,-19.0,763.0,50.0,0,0,1
126.0,7,31,-12.15,-70.95,-84.0,-19.0,763.0,50.0,0,0,1
126.0,7,31,71.15,146.45,-84.0,-19.0,763.0,50.0,0,0,0
126.0,7,31,-19.95,-88.15,-84.0,-19.0,763.0,75.0,0,0,0
127.0,7,31,-29.95,-81.45,-82.0,-19.0,762.0,75.0,0,0,0
127.0,7,31,-9.45,-106.65,-82.0,-19.0,762.0,75.0,0,0,0
127.0,7,31,-29.55,31.85,-82.0,-19.0,762.0,50.0,0,0,1
128.0,7,31,-33.65,35.95,-82.0,-21.0,760.0,50.0,0,0,1
128.0,7,31,-42.45,-122.05,-82.0,-21.0,760.0,50.0,0,0,1
